# Contains the count of how many times a cell in the global cache had an insert performed to it.
# The fields are (insert count, touch count)
--------------------- BANK   0 --------------------
SET [ 69]  (     1,      9),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 70]  (     1,      9),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 71]  (     1,      8),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 72]  (     1,      5),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 73]  (     1,      5),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 74]  (     1,      9),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 75]  (     1,      5),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 76]  (     1,      4),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 77]  (     1,      9),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 78]  (     1,      9),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 79]  (     1,      5),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 80]  (     1,      4),  (     1,      4),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 81]  (     1,      5),  (     1,      1),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 82]  (     1,     10),  (     1,      5),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 83]  (     1,      6),  (     1,      6),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 84]  (     1,      6),  (     1,      6),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 85]  (     1,      5),  (     1,      5),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 86]  (     1,      4),  (     1,      5),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 87]  (     1,      5),  (     1,      4),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 88]  (     1,      5),  (     1,      5),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 89]  (     1,      5),  (     1,      5),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 90]  (     1,      5),  (     1,      1),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 91]  (     1,      4),  (     1,      1),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 92]  (     1,      5),  (     1,      4),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 93]  (     1,      5),  (     1,      5),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 94]  (     1,      5),  (     1,      5),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 95]  (     1,      5),  (     1,      1),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 96]  (     1,      4),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 97]  (     1,      5),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 98]  (     1,      5),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 99]  (     1,      5),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [100]  (     1,      5),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [101]  (     1,      4),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [102]  (     1,      5),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [103]  (     1,      5),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [104]  (     1,      6),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [105]  (     1,      6),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [106]  (     1,      5),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [107]  (     1,      1),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [108]  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [109]  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [110]  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [111]  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [112]  (     1,      4),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [113]  (     1,      5),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [114]  (     1,      5),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [115]  (     1,      5),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
